start	end	F4:HeadMovement	F4:janej	F4:yes	F4:no	F4:word01	F4:Face	F4:pitch	M1:pitch	F4:intensity	M1:intensity	F4:x-pos	F4:y-pos	F4:weight	F4:velocity-r	F4:velocity-clock	F4:velocity-x	F4:velocity-y	F4:acceleration-r	F4:acceleration-clock	F4:acceleration-x	F4:acceleration-y	F4:jerk-r	F4:jerk-clock	F4:jerk-x	F4:jerk-y
26680	26684			0	0	0		531.2088933785179	97.02622170726518	35.937727344282905	31.052727250017398	396.599000	95.778900	0.869396	0.140236	5	0.048550	0.131563	0.003619	11	-0.001023	-0.003471	0.009987	12	-0.002150	-0.009752
26684	26688			0	0	0		531.2088933785179	97.02622170726518	36.18683320087659	30.03223617096552	396.614000	96.760000	0.864901	0.103791	5	0.033983	0.098070	0.026525	12	-0.006241	-0.025780	0.003643	11	-0.001934	-0.003088
26688	26692			0	0	0		531.2088933785179	97.02622170726518	36.58867626813419	29.985893059672776	396.601000	96.750400	0.867553	0.026318	2	0.019250	-0.017947	0.032298	11	-0.009900	-0.030743	0.001554	10	-0.001179	-0.001012
26692	26696			0	0	0		531.2088933785179	97.02622170726518	36.59336032541286	30.43923874690631	397.540000	95.767200	0.871358	0.049994	12	0.002617	-0.049925	0.023217	11	-0.011336	-0.020262	0.000551	6	-0.000025	0.000551
26696	26700			0	0	0		531.2088933785179	97.02622170726518	37.476462527117405	31.14720183426237	396.607000	97.744500	0.872680	0.066776	12	-0.014317	-0.065223	0.025923	11	-0.010086	-0.023880	0.004115	3	0.004114	-0.000051
26700	26704			0	0	0		531.2088933785179	97.02622170726518	37.0658797458171	31.28728777890521	396.617000	96.778200	0.874580	0.150309	12	-0.029917	-0.147302	0.028103	1	0.009714	-0.026371	0.003600	5	0.001952	0.003025
26704	26708			0	0	0		531.2088933785179	97.02622170726518	37.70784532336735	34.29876847407628	396.618000	95.760100	0.878402	0.148005	12	0.017233	-0.146998	0.005488	3	0.005467	-0.000477	0.007670	5	0.003497	0.006827
26708	26712			0	0	0		531.2088933785179	97.02622170726518	47.73523312079186	48.461856238071675	396.608000	95.779800	0.870093	0.133318	12	-0.014417	-0.132537	0.022603	4	0.021331	0.007475	0.004209	5	0.002405	0.003454
26712	26716			0	0	0		531.2088933785179	97.02622170726518	42.075664268170854	41.093616031685315	396.611000	95.778100	0.870878	0.205204	1	0.093317	-0.182758	0.034606	4	0.032346	0.012301	0.004416	8	-0.003513	0.002677
26716	26720			0	0	0		531.2088933785179	97.02622170726518	55.094160569855546	54.363296905240176	396.621000	95.769500	0.873999	0.141398	2	0.123867	-0.068193	0.041660	6	-0.004572	0.041408	0.006956	7	-0.004893	0.004944
26720	26724			0	0	0		531.2088933785179	97.02622170726518	52.721320499813544	52.32862082986399	397.549000	95.776500	0.870332	0.077205	3	0.077200	-0.000900	0.034712	6	-0.002351	0.034632	0.006385	12	-0.001078	-0.006294
26724	26728			0	0	0		531.2088933785179	97.02622170726518	54.791004629897486	52.94139219716982	396.617000	95.755000	0.871962	0.112128	4	0.092467	0.063423	0.007581	7	-0.003481	0.006734	0.004887	12	-0.000545	-0.004856
26728	26732			0	0	0		531.2088933785179	529.4917048661414	55.68926047508136	52.91567881196792	397.538000	95.764900	0.873393	0.103211	4	0.091667	0.047432	0.005743	9	-0.005705	-0.000655	0.003101	8	-0.002958	0.000932
26732	26736			0	0	0		531.2088933785179	529.4917048661414	45.913519146375606	40.72609673661497	397.546000	95.764500	0.870898	0.082339	4	0.075633	0.032547	0.025219	8	-0.022836	0.010702	0.002638	8	-0.002363	0.001173
26736	26740			0	0	0		531.2088933785179	529.4917048661414	42.15655958881943	42.94787559737592	396.610000	95.768300	0.872551	0.083679	6	-0.017067	0.081920	0.030442	8	-0.026879	0.014292	0.003455	6	-0.000550	0.003411
26740	26744			0	0	0		531.2088933785179	529.4917048661414	51.905798668271515	51.6467976850446	397.536000	96.743900	0.872397	0.121158	7	-0.031983	0.116860	0.034454	7	-0.018513	0.029058	0.004198	1	0.001102	-0.004051
26744	26748			0	0	0		531.2088933785179	529.4917048661414	51.73314558963608	51.22700865082696	397.537000	95.760500	0.873892	0.226846	7	-0.110167	0.198298	0.025175	9	-0.024761	-0.004546	0.003625	12	0.000820	-0.003531
26748	26752			0	0	0		531.2088933785179	529.4917048661414	50.8579074362001	48.76111785579616	397.537000	95.774400	0.869745	0.159998	7	-0.109550	0.116612	0.010131	11	-0.004239	-0.009202	0.005271	2	0.004584	-0.002600
26752	26756			0	0	0		531.2088933785179	529.4917048661414	53.46348630112811	52.79186605558186	396.606000	96.748100	0.873108	0.136739	7	-0.093533	0.099745	0.012764	12	-0.001016	-0.012724	0.002639	2	0.002173	-0.001499
26756	26760			0	0	0		531.2088933785179	529.4917048661414	54.1846651604635	52.80643455389295	396.609000	96.767500	0.869212	0.155577	8	-0.140350	0.067127	0.012960	12	-0.001083	-0.012915	0.002734	3	0.002716	-0.000315
26760	26764			0	0	0		531.2088933785179	529.4917048661414	48.638426330718154	44.47052069714307	396.590000	97.739600	0.867946	0.147411	8	-0.109367	0.098838	0.022988	2	0.021805	-0.007277	0.004798	2	0.003862	-0.002848
26764	26768			0	0	0		531.2088933785179	529.4917048661414	44.606584097755515	45.65807155155717	396.614000	95.776500	0.872767	0.079162	8	-0.062267	0.048882	0.046517	1	0.023219	-0.040308	0.001455	10	-0.001361	-0.000513
26768	26772			0	0	0		531.2088933785179	529.4917048661414	38.6829896846316	37.02632850863557	396.604000	96.752200	0.869265	0.081826	12	0.001100	-0.081818	0.026356	1	0.016436	-0.020603	0.006545	7	-0.003075	0.005777
26772	26776			0	0	0		531.2088933785179	529.4917048661414	51.66904023192203	51.580550857039455	396.596000	96.758100	0.864203	0.066147	12	0.000683	-0.066143	0.006821	6	-0.000256	0.006816	0.006576	7	-0.003081	0.005810
26776	26780			0	0	0		531.2088933785179	529.4917048661414	52.59909544984548	50.3748351853363	396.602000	96.751000	0.866329	0.049199	12	-0.000167	-0.049198	0.015488	6	-0.000462	0.015481	0.001410	6	-0.000067	0.001409
26780	26784			0	0	0		531.2088933785179	529.4917048661414	49.77130898154735	47.72316975809875	396.609000	96.757000	0.871108	0.050619	6	-0.002100	0.050575	0.020561	6	-0.000664	0.020550	0.000656	12	-0.000102	-0.000648
26784	26788			0	0	0		531.2088933785179	529.4917048661414	46.551624999557426	42.58988441452246	396.621000	95.777600	0.872858	0.002127	9	-0.002083	0.000427	0.005855	12	-0.000745	-0.005807	0.003214	12	-0.000042	-0.003213
26788	26792			0	0	0		531.2088933785179	529.4917048661414	41.62545369877809	39.050671261557824	396.599000	96.756900	0.871702	0.017080	6	-0.004333	0.016522	0.010022	6	-0.001159	0.009955	0.001203	12	0.000045	-0.001202
26792	26796			0	0	0		531.2088933785179	529.4917048661414	37.12857180204733	34.03096019204037	396.587000	96.753900	0.869977	0.033128	6	-0.007183	0.032340	0.010707	12	-0.000627	-0.010689	0.005154	12	0.000175	-0.005151
26796	26800			0	0	0		531.2088933785179	529.4917048661414	38.60416728912643	34.16582506791349	396.589000	96.777800	0.865170	0.019295	11	-0.007233	-0.017888	0.023294	12	0.000096	-0.023294	0.000588	1	0.000156	-0.000567
26800	26804			0	0	0		531.2088933785179	529.4917048661414	36.78342735028229	31.317400535148302	396.588000	96.742400	0.869605	0.051405	12	-0.006417	-0.051003	0.012872	12	0.000351	-0.012867	0.002355	6	0.000115	0.002352
26804	26808			0	0	0		531.2088933785179	529.4917048661414	37.83414618400436	31.999861320639567	396.560000	96.757900	0.864647	0.084337	12	-0.005350	-0.084167	0.009270	12	0.000684	-0.009245	0.001227	6	0.000117	0.001222
26808	26812			0	0	0		531.2088933785179	529.4917048661414	36.51185794389023	30.09601951617022	396.550000	96.747800	0.861303	0.051744	12	-0.004383	-0.051558	0.000938	3	0.000928	0.000139	0.003259	6	0.000001	0.003259
26812	26816			0	0	0		531.2088933785179	529.4917048661414	35.52328637020304	30.013458627314385	396.573000	95.763400	0.870564	0.084183	12	-0.002050	-0.084158	0.001917	1	0.000882	-0.001702	0.000208	11	-0.000070	-0.000196
26816	26820			0	0	0		531.2088933785179	529.4917048661414	35.58830656258016	31.01199800357064	396.570000	95.765700	0.873525	0.097492	12	-0.000333	-0.097492	0.000585	2	0.000536	-0.000233	0.000349	11	-0.000190	-0.000293
26820	26824			0	0	0		531.2088933785179	529.4917048661414	35.65729860527445	29.996900456847055	396.549000	96.741400	0.864544	0.097224	12	0.000433	-0.097223	0.001429	6	-0.000304	0.001396	0.000443	11	-0.000138	-0.000421
26824	26828			0	0	0		531.2088933785179	529.4917048661414	35.666885975008434	29.839305030928827	396.557000	96.744800	0.862889	0.080146	12	-0.001983	-0.080122	0.002563	6	-0.000575	0.002497	0.000347	12	0.000029	-0.000345
