start	end	M6:HeadMovement	M6:janej	M6:yes	M6:no	M6:word01	M6:Face	M6:pitch	F1:pitch	M6:intensity	F1:intensity	M6:x-pos	M6:y-pos	M6:weight	M6:velocity-r	M6:velocity-clock	M6:velocity-x	M6:velocity-y	M6:acceleration-r	M6:acceleration-clock	M6:acceleration-x	M6:acceleration-y	M6:jerk-r	M6:jerk-clock	M6:jerk-x	M6:jerk-y
27976	27980			0	0	0		116.10089293391812	258.403911683909	16.94474856761196	17.72948398129553	220.600000	87.567400	0.830555	0.211145	8	-0.157267	0.140888	0.013353	5	0.005354	0.012233	0.006925	1	0.003845	-0.005759
27980	27984			0	0	0		116.10089293391812	258.403911683909	16.403491625289007	18.37463890764805	220.609000	88.512100	0.841479	0.148738	7	-0.079117	0.125950	0.024908	2	0.021995	-0.011687	0.006362	1	0.004088	-0.004875
27984	27988			0	0	0		116.10089293391812	258.403911683909	16.403491625289007	18.37463890764805	220.599000	88.515200	0.839906	0.114617	7	-0.063133	0.095662	0.026029	2	0.020614	-0.015891	0.001479	10	-0.001372	-0.000552
27988	27992			0	0	0		116.10089293391812	258.403911683909	18.144025685905717	19.992338593413812	220.591000	88.515800	0.832638	0.059625	7	-0.032600	0.049923	0.022187	2	0.016365	-0.014983	0.006435	9	-0.006386	0.000793
27992	27996			0	0	0		116.10089293391812	258.403911683909	13.863917698891889	16.525332262061813	220.601000	88.511000	0.842097	0.067494	6	0.014317	0.065958	0.012231	10	-0.010480	-0.006306	0.004365	8	-0.004175	0.001275
27996	28000			0	0	0		116.10089293391812	258.403911683909	13.863917698891889	16.525332262061813	221.536000	88.519600	0.845409	0.066531	9	-0.066433	0.003607	0.024609	10	-0.018147	-0.016622	0.001344	9	-0.001342	-0.000071
28000	28004			0	0	0		116.10089293391812	258.403911683909	15.17428253879299	17.38510546897605	220.608000	88.522800	0.839293	0.066728	9	-0.066683	0.002447	0.008981	9	-0.008978	-0.000252	0.004475	4	0.003424	0.002881
28004	28012			0	0	0		116.10089293391812	258.403911683909	16.45713826390464	17.900559506204544	220.585000	88.536400	0.839471	0.066553	9	-0.066517	0.002185	0.000799	12	0.000191	-0.000776	0.000855	3	0.000846	-0.000124
28008	28016			0	0	0		116.10089293391812	258.403911683909	16.965126116535174	18.616168873731368	220.592000	88.533800	0.842768	0.065683	9	-0.065683	0.000090	0.007807	9	-0.007732	-0.001082	0.000329	3	0.000328	-0.000024
28012	28016			0	0	0		116.10089293391812	258.403911683909	16.965126116535174	18.616168873731368	219.619000	88.539000	0.845487	0.129155	9	-0.129133	-0.002390	0.005337	9	-0.005251	-0.000959	0.003432	3	0.003430	0.000105
28016	28024			0	0	0		116.10089293391812	258.403911683909	17.016763232264484	18.959499016220885	220.570000	88.518900	0.836659	0.097813	9	-0.097750	-0.003513	0.021609	3	0.021606	-0.000376	0.002795	3	0.002790	0.000165
28020	28028			0	0	0		116.10089293391812	258.403911683909	16.548408556909916	18.480546594971344	220.579000	88.530200	0.845759	0.047550	9	-0.047400	-0.003775	0.015183	3	0.015183	0.000014	0.002975	11	-0.000807	-0.002863
28024	28028			0	0	0		116.10089293391812	258.403911683909	16.548408556909916	18.480546594971344	220.594000	88.505700	0.834606	0.003333	12	0.000617	-0.003275	0.024225	2	0.018221	-0.015963	0.000719	3	0.000717	0.000055
28028	28032			0	0	0		116.10089293391812	258.403911683909	16.548408556909916	18.480546594971344	219.618000	88.503400	0.831327	0.082120	1	0.049983	-0.065157	0.015948	2	0.014671	-0.006253	0.001739	7	-0.000552	0.001649
28032	28040			0	0	0		116.10089293391812	258.403911683909	17.806606154210524	18.38062849585641	219.626000	88.511100	0.837221	0.051976	1	0.017633	-0.048893	0.004908	4	0.004646	0.001584	0.002426	7	-0.001130	0.002147
28036	28044			0	0	0		116.10089293391812	258.403911683909	18.099418753464413	22.705908076375238	220.593000	88.517900	0.842237	0.059855	2	0.050167	-0.032648	0.018205	4	0.016921	0.006716	0.001842	6	-0.000029	0.001842
28040	28044			0	0	0		116.10089293391812	258.403911683909	18.099418753464413	22.705908076375238	220.583000	88.511100	0.836362	0.083949	3	0.082433	-0.015882	0.012729	5	0.007840	0.010028	0.001626	8	-0.001200	0.001098
28044	28052			0	0	0		116.10089293391812	258.403911683909	22.29844219543089	32.152283347123564	220.594000	87.572300	0.829048	0.114435	3	0.114433	-0.000628	0.015358	5	0.010810	0.010909	0.004004	9	-0.004003	0.000025
28048	28056			0	0	0		116.10089293391812	258.403911683909	21.59621771508263	30.361512054824008	220.585000	88.497600	0.836931	0.129046	3	0.128167	0.015037	0.020231	8	-0.017484	0.010179	0.003559	10	-0.003426	-0.000964
28052	28056			0	0	0		116.10089293391812	258.403911683909	21.59621771508263	30.361512054824008	220.611000	88.512100	0.842139	0.057026	4	0.047283	0.031878	0.019855	8	-0.018436	0.007372	0.002063	1	0.000852	-0.001878
28056	28060			0	0	0		116.10089293391812	258.403911683909	16.671231867390667	19.77653898294464	220.606000	88.504100	0.843586	0.058584	5	0.031000	0.049710	0.007440	9	-0.007238	0.001723	0.002570	1	0.001207	-0.002269
28060	28064			0	0	0		116.10089293391812	258.403911683909	18.724317510141756	18.968216714888012	220.590000	88.505500	0.835519	0.067050	6	0.013483	0.065680	0.012122	10	-0.010296	-0.006399	0.002080	11	-0.000997	-0.001825
28064	28072			0	0	0		116.10089293391812	258.403911683909	18.724317510141756	18.968216714888012	221.535000	88.514500	0.841719	0.003644	7	-0.001883	0.003120	0.020057	11	-0.010915	-0.016827	0.000179	1	0.000106	-0.000145
28068	28076			0	0	0		116.10089293391812	258.403911683909	40.38263903551407	53.01946334826973	220.585000	88.525300	0.837329	0.018031	9	-0.018000	0.001048	0.009835	9	-0.009804	-0.000772	0.003151	5	0.001124	0.002943
28072	28076			0	0	0		116.10089293391812	258.403911683909	40.38263903551407	53.01946334826973	220.585000	88.535200	0.850724	0.032969	9	-0.032967	0.000382	0.006302	9	-0.006275	-0.000579	0.001960	3	0.001960	0.000046
28076	28084			0	0	0		116.10089293391812	258.8546979659462	40.38263903551407	53.01946334826973	220.577000	88.520100	0.837241	0.048388	9	-0.048383	-0.000660	0.001034	10	-0.000866	-0.000566	0.002124	3	0.002122	0.000084
28080	28088			0	0	0		116.10089293391812	276.73158860636727	43.93595433670054	54.31381058634541	220.594000	88.517900	0.834563	0.063871	9	-0.063850	-0.001657	0.006548	3	0.006545	-0.000179	0.001448	9	-0.001443	0.000126
28084	28088			0	0	0		116.10089293391812	276.73158860636727	43.93595433670054	54.31381058634541	220.594000	88.505000	0.835005	0.001891	11	-0.000800	-0.001713	0.000199	7	-0.000111	0.000166	0.000148	5	0.000059	0.000136
28088	28096			0	0	0		116.10089293391812	281.56335796350453	41.69922131683169	52.82966616670093	220.581000	88.509800	0.833511	0.064132	9	-0.064117	-0.001397	0.006444	9	-0.006416	0.000602	0.001358	9	-0.001358	-0.000008
28092	28100			0	0	0		116.10089293391812	285.1888868065405	42.92075851289635	53.595452493035864	220.573000	88.513600	0.841201	0.047220	9	-0.047217	0.000573	0.001235	3	0.001195	0.000314	0.002264	3	0.002263	-0.000041
28096	28100			0	0	0		116.10089293391812	285.1888868065405	42.92075851289635	53.595452493035864	220.584000	88.514900	0.843178	0.032383	9	-0.032383	0.000047	0.006909	3	0.006907	0.000159	0.001928	3	0.001925	-0.000101
28100	28108			0	0	0		116.10089293391812	285.2129274153556	44.719387957573666	54.7297965078653	220.579000	88.520100	0.838225	0.015203	9	-0.015167	0.001053	0.010250	3	0.010249	-0.000073	0.001980	9	-0.001980	-0.000059
28104	28112			0	0	0		116.10089293391812	278.07389401359563	43.08904838553537	53.967915508903566	219.632000	88.513600	0.833816	0.001015	3	0.000983	0.000253	0.005581	9	-0.005571	-0.000333	0.000074	8	-0.000071	0.000022
28108	28112			0	0	0		116.10089293391812	278.07389401359563	43.08904838553537	53.967915508903566	220.597000	88.523100	0.847287	0.047085	9	-0.047083	-0.000403	0.003125	3	0.003125	0.000032	0.000552	3	0.000550	0.000056
28112	28120			0	0	0		116.10089293391812	269.5773261528689	42.20635491770452	51.66110178101208	220.579000	88.501500	0.830508	0.015785	9	-0.015783	0.000218	0.007743	3	0.007742	0.000094	0.000260	3	0.000252	0.000064
28116	28124			0	0	0		116.10089293391812	303.4350945023346	40.54898148303522	50.794225727857814	220.594000	88.522600	0.841813	0.016834	3	0.016833	0.000148	0.007553	3	0.007547	0.000315	0.003402	9	-0.003402	-0.000019
28120	28124			0	0	0		116.10089293391812	303.4350945023346	40.54898148303522	50.794225727857814	220.578000	88.512800	0.837674	0.046934	3	0.046917	0.001263	0.014050	9	-0.014050	0.000097	0.007423	10	-0.006767	-0.003052
28124	28128			0	0	0		116.10089293391812	566.2983832028539	39.38747104383941	51.10645182050435	219.627000	88.510900	0.834454	0.066452	9	-0.066450	0.000533	0.049231	10	-0.046385	-0.016497	0.005446	10	-0.004494	-0.003076
28128	28130			0	0	0		116.10089293391812	588.9251038538446	39.38747104383941	51.10645182050435	220.589000	88.525600	0.840175	0.174142	10	-0.162883	-0.061598	0.043114	10	-0.036379	-0.023139	0.002101	5	0.001411	0.001557
28132	28140			0	0	1		168.1343976779797	232.4686904675055	49.801610452303684	53.16742656949293	220.599000	88.516600	0.843719	0.253691	10	-0.228617	-0.109972	0.032442	9	-0.031851	-0.006165	0.002878	1	0.001690	-0.002330
28136	28140			0	0	1		168.1343976779797	232.4686904675055	49.801610452303684	53.16742656949293	220.571000	88.528300	0.839306	0.272105	10	-0.260233	-0.079497	0.033114	11	-0.020469	-0.026031	0.001878	4	0.001551	0.001058
28140	28144			0	0	1		169.22046160334884	169.79839941267576	49.801610452303684	53.16742656949293	219.601000	88.510800	0.830950	0.315534	10	-0.261850	-0.176058	0.027449	10	-0.023464	-0.014243	0.007065	4	0.006240	0.003314
28144	28148			0	0	1		169.22046160334884	169.79839941267576	39.95643054174364	39.84909623167294	218.641000	87.577200	0.830568	0.413357	10	-0.372883	-0.178387	0.001980	10	-0.001874	-0.000639	0.006897	4	0.005437	0.004244
28148	28156			0	0	1		169.22046160334884	169.79839941267576	51.325899938154606	45.54178339530763	218.635000	87.574100	0.816386	0.348655	10	-0.308483	-0.162475	0.025996	4	0.023070	0.011983	0.009748	4	0.008974	0.003807
28152	28157			0	0	1		161.797555153384	235.1200427896457	40.933224096742	38.40547987266598	218.642000	88.498600	0.819401	0.303856	10	-0.274000	-0.131348	0.051288	4	0.046583	0.021460	0.002015	6	-0.000106	0.002012
28156	28157			0	0	1		161.797555153384	235.1200427896457	40.933224096742	38.40547987266598	218.624000	86.599300	0.813872	0.152904	10	-0.129433	-0.081405	0.042573	4	0.034608	0.024793	0.005429	10	-0.004276	-0.003345
28160	28168			0	0	1		161.797555153384	235.1200427896457	51.228366261500604	45.916945304696455	217.683000	87.536800	0.817676	0.100226	9	-0.098400	-0.019043	0.011752	4	0.011298	0.003235	0.005936	11	-0.002534	-0.005368
28164	28172			0	0	1		226.7389337933251	235.1200427896457	33.638857701187746	36.42548519439408	218.626000	87.548500	0.817929	0.140302	10	-0.113300	-0.082752	0.023025	1	0.014605	-0.017800	0.004199	12	0.000872	-0.004108
28168	28172			0	0	1		226.7389337933251	235.1200427896457	33.638857701187746	36.42548519439408	217.674000	87.543700	0.827701	0.139333	11	-0.049633	-0.130193	0.029494	2	0.025900	-0.014111	0.003401	6	-0.000786	0.003309
28172	28176			0	0	1		226.7389337933251	235.1200427896457	24.73908672140668	26.467977149004362	218.629000	87.568100	0.827806	0.082839	12	0.015433	-0.081388	0.016096	4	0.011625	0.011133	0.004190	6	-0.000177	0.004187
28176	28180	HeadForward		0	0	1		226.7389337933251	235.1200427896457	24.73908672140668	26.467977149004362	217.653000	87.536200	0.828945	0.097871	12	0.015650	-0.096612	0.015262	3	0.015191	0.001468	0.005832	5	0.002234	0.005387
28180	28183	HeadForward		0	0	1		226.7389337933251	235.1200427896457	18.15585690318349	18.32255680150451	217.677000	86.568500	0.815316	0.052163	1	0.018350	-0.048828	0.050964	5	0.024160	0.044873	0.009309	6	-0.001161	0.009236
28184	28188	HeadForward		0	0	0		226.7389337933251	235.1200427896457	18.15585690318349	18.32255680150451	218.622000	86.564200	0.810721	0.159445	4	0.146233	0.063548	0.060076	5	0.023618	0.055239	0.002203	4	0.001617	0.001497
28188	28192	HeadForward		0	0	0		226.7389337933251	235.1200427896457	15.60034621557522	16.486361221389455	218.631000	86.599800	0.814259	0.196549	5	0.114400	0.159825	0.053877	5	0.017140	0.051078	0.004049	12	0.000790	-0.003971
28192	28196	HeadForward		0	0	0		226.7389337933251	235.1200427896457	17.41228755767098	25.779692810367926	217.678000	87.538800	0.823822	0.322531	5	0.211750	0.243287	0.051910	4	0.039163	0.034072	0.008351	12	0.001644	-0.008187
28196	28200	HeadForward		0	0	0		226.7389337933251	235.1200427896457	17.41228755767098	25.779692810367926	218.655000	87.546900	0.817250	0.411624	5	0.274617	0.306627	0.023291	4	0.022343	0.006577	0.010500	11	-0.003401	-0.009934
28200	28208	HeadForward		0	0	0		226.7389337933251	235.1200427896457	18.2063001569152	17.668511167271426	219.597000	88.503700	0.823850	0.400538	4	0.291967	0.274202	0.032890	1	0.016760	-0.028299	0.008230	11	-0.002496	-0.007842
28204	28212	HeadForward		0	0	0		226.7389337933251	235.1200427896457	20.402834062012637	21.958942381187757	218.634000	88.507000	0.828839	0.397787	4	0.338617	0.208742	0.041208	1	0.012069	-0.039402	0.004983	10	-0.004784	-0.001394
28208	28212	HeadForward		0	0	0		226.7389337933251	235.1200427896457	20.402834062012637	21.958942381187757	219.618000	88.525100	0.832991	0.372135	4	0.354300	0.113823	0.041457	11	-0.013514	-0.039192	0.010853	9	-0.010613	0.002271
28212	28216	HeadForward		0	0	0		226.7389337933251	235.1200427896457	18.5685404131203	20.236232927861856	220.568000	88.502400	0.832665	0.266032	3	0.258083	0.064545	0.060859	10	-0.056012	-0.023801	0.008800	8	-0.007601	0.004434
28216	28220			0	0	0		226.7389337933251	235.1200427896457	16.198586375697193	18.559194850760367	220.584000	88.517100	0.845126	0.130718	3	0.130717	0.000560	0.057624	10	-0.055083	-0.016922	0.003126	6	-0.000307	0.003111
